id,title,dayPort,price,basePrice,promotion,activityLevel,stock,stockStatus,categories,interests,restrictions,descriptionWordCount,highlightCount,description,highlights,copyForAnalysis
KEBA,Destination Highlight: Tatoosh Islands Wilderness Kayak Adventure,"Day 3 | KETCHIKAN, ALASKA",216.99,216.99,(25% OFF) FLASH SALE,Moderate,9999,IN_STOCK,Shore Excursions; Excursions,Active; Destination Highlights; Aquatics & Water Activity ; Sustainable,Are you greater than or equal to 8.0 years ?; Are you less than or equal to 270.0 lbs ?; Are you less than or equal to 78.0 inches ?,83,2,"Join our experienced kayak guide for a thrilling sea kayak paddle adventure in Tongass National Forest. Your 4.5-hour sea kayak journey begins with a motorized boat ride to Tatoosh Islands. On a protected beach, you’ll learn about kayak safety. Then, launch from the beach in a stable, double sea kayak. Paddle among the islands and learn about the natural wonders of a temperate rainforest environment. Keep on the lookout for intertidal life, including bald eagles, seals, minks, deer, porpoise, sea lions, and whales.",Launch in your double see kayak to see a variety of plant and animal life in the Tongass National Forest.; Float over to the Tatoosh Islands on a scenic inflatable boat ride while learning about kayak safety.,"Destination Highlight: Tatoosh Islands Wilderness Kayak Adventure

Join our experienced kayak guide for a thrilling sea kayak paddle adventure in Tongass National Forest. Your 4.5-hour sea kayak journey begins with a motorized boat ride to Tatoosh Islands. On a protected beach, you’ll learn about kayak safety. Then, launch from the beach in a stable, double sea kayak. Paddle among the islands and learn about the natural wonders of a temperate rainforest environment. Keep on the lookout for intertidal life, including bald eagles, seals, minks, deer, porpoise, sea lions, and whales.

Launch in your double see kayak to see a variety of plant and animal life in the Tongass National Forest.

Float over to the Tatoosh Islands on a scenic inflatable boat ride while learning about kayak safety."
SKD6,Destination Highlight: Big Nugget,"Day 5 | SKAGWAY, ALASKA",207.99,207.99,(40% OFF) FLASH SALE,Mild,9999,IN_STOCK,Shore Excursions; Excursions,Cultural; Sightseeing; Nature & Wildlife; Destination Highlights; Sustainable,,221,5,"Enter the Gold Rush Training Camp, to learn how to extract paydirt, sluice, and assay your results. Learn the art of gold panning with a humorous and educational show. Practice your technique in heated troughs. Authentic gold is guaranteed! Weigh your fortune with our assayers. Meet canine athletes that have run the world-famous Iditarod race as well as our experienced mushers. Hear about the history of this breed through personal stories and an amazing collection of the gear necessary on long-distance races like the Iditarod. Observe the musher hooking them up to an authentic sled for a fast practice lap around the track. The next generation of puppies are there to cuddle and hold. Puppy kisses guaranteed! Take a guided tour of the 350-ton Sixty Mile Dredge – one of the last rescued authentic gold dredges used for placer mining. Take a break with lunch at the Alaskan BBQ where our menu is based on Alaskan home-grown foods and finish with a campfire complete with s'mores, or soda floats (weather dependent), lots of performances, and laughter with our costumed characters. You will return to the ship not as a cheechako (newcomer to Alaska) but as a seasoned sourdough (someone who has experienced Alaska and is now a part of its history and culture) with lots of memories to share back home.","Meet Iditarod dogs and their mushers, and learn about the role sled dogs played in Alaska’s history. The next generation of puppies are there to cuddle and hold. Puppy kisses guaranteed!; Visit the gold dredge and uncover its inner workings.; Savor a BBQ buffet, enjoying smoked ribs, chicken, salmon chowder delicious sides and dessert on the riverside patios.; Enjoy a campfire complete with s'mores or soda floats (weather dependent), lots of performances, and laughter with our costumed characters.; Become a prospector of the Gold Rush era and learn various gold panning techniques and search for authentic Yukon gold at the warm-water troughs, where valuable gold is guaranteed!","Destination Highlight: Big Nugget

Enter the Gold Rush Training Camp, to learn how to extract paydirt, sluice, and assay your results. Learn the art of gold panning with a humorous and educational show. Practice your technique in heated troughs. Authentic gold is guaranteed! Weigh your fortune with our assayers. Meet canine athletes that have run the world-famous Iditarod race as well as our experienced mushers. Hear about the history of this breed through personal stories and an amazing collection of the gear necessary on long-distance races like the Iditarod. Observe the musher hooking them up to an authentic sled for a fast practice lap around the track. The next generation of puppies are there to cuddle and hold. Puppy kisses guaranteed! Take a guided tour of the 350-ton Sixty Mile Dredge – one of the last rescued authentic gold dredges used for placer mining. Take a break with lunch at the Alaskan BBQ where our menu is based on Alaskan home-grown foods and finish with a campfire complete with s'mores, or soda floats (weather dependent), lots of performances, and laughter with our costumed characters. You will return to the ship not as a cheechako (newcomer to Alaska) but as a seasoned sourdough (someone who has experienced Alaska and is now a part of its history and culture) with lots of memories to share back home.

Meet Iditarod dogs and their mushers, and learn about the role sled dogs played in Alaska’s history. The next generation of puppies are there to cuddle and hold. Puppy kisses guaranteed!

Visit the gold dredge and uncover its inner workings.

Savor a BBQ buffet, enjoying smoked ribs, chicken, salmon chowder delicious sides and dessert on the riverside patios.

Enjoy a campfire complete with s'mores or soda floats (weather dependent), lots of performances, and laughter with our costumed characters.

Become a prospector of the Gold Rush era and learn various gold panning techniques and search for authentic Yukon gold at the warm-water troughs, where valuable gold is guaranteed!"
SKD7,Destination Highlight: Best of Skagway,"Day 5 | SKAGWAY, ALASKA",,0,,Mild,9999,IN_STOCK,Shore Excursions; Excursions,Cultural; Sightseeing; Sustainable; Food and Wine; Destination Highlights,,275,5,"Experience many of Skagway's highlights in one tour. First, climb aboard the White Pass and Yukon Railway and ascend into the scenic mountains, hearing stories of the miners who made this difficult, or once-treacherous, sojourn on foot more than a century ago. Arriving in Fraser, British Columbia board a motor coach to travel south through the pass where your driver/guide will point out sites including Tormented Valley and Pitchfork Falls. At the foot of the pass is Liarsville Gold Rush Trail Camp. Here a cast of sourdoughs and dance hall girls will entertain you with a humorous melodrama, recite a poem by the ""Bard of the North"" and teach you the art of finding gold! You are guaranteed to hit pay dirt and you get to keep the gold you find... and there is nothing like panning for gold to work up an appetite! At the Liarsville Cookhouse the grill is fired up for a delicious feast of wild Alaskan salmon, baked chicken, rice pilaf, a variety of salads, baked beans, cornbread and dessert. Your tour culminates at the world-famous Red Onion Saloon where you will be greeted by sumptuously dressed madams. Upstairs in the Bombay room, enjoy a champagne toast to the courageous ladies of 1898. A few more steps takes you to what was the most luxurious brothel of its day, now faithfully restored to its present glory. On your tour through the brothel museum, you will hear stories of the infamous madams who worked there, and see the prized silver dress and other artifacts left behind by the ""soiled doves"". Embrace the spirit of '98 and enjoy the experience of a lifetime!","Travel the White Pass and Yukon Railway, following the footsteps of miners who travelled into the mountains on foot.; Discover the incredible beauty of British Columbia's Tormented Valley and Pitchfork Falls.; Sip a glass of champagne at the famous Red Onion Saloon.; Savor a delicious meal of wild Alaskan salmon, baked chicken, rice pilaf, salads, baked beans, cornbread, and dessert.; Immerse yourself in gold rush life at the Gold Rush Trail Camp where you'll learn how to pan for gold.","Destination Highlight: Best of Skagway

Experience many of Skagway's highlights in one tour. First, climb aboard the White Pass and Yukon Railway and ascend into the scenic mountains, hearing stories of the miners who made this difficult, or once-treacherous, sojourn on foot more than a century ago. Arriving in Fraser, British Columbia board a motor coach to travel south through the pass where your driver/guide will point out sites including Tormented Valley and Pitchfork Falls. At the foot of the pass is Liarsville Gold Rush Trail Camp. Here a cast of sourdoughs and dance hall girls will entertain you with a humorous melodrama, recite a poem by the ""Bard of the North"" and teach you the art of finding gold! You are guaranteed to hit pay dirt and you get to keep the gold you find... and there is nothing like panning for gold to work up an appetite! At the Liarsville Cookhouse the grill is fired up for a delicious feast of wild Alaskan salmon, baked chicken, rice pilaf, a variety of salads, baked beans, cornbread and dessert. Your tour culminates at the world-famous Red Onion Saloon where you will be greeted by sumptuously dressed madams. Upstairs in the Bombay room, enjoy a champagne toast to the courageous ladies of 1898. A few more steps takes you to what was the most luxurious brothel of its day, now faithfully restored to its present glory. On your tour through the brothel museum, you will hear stories of the infamous madams who worked there, and see the prized silver dress and other artifacts left behind by the ""soiled doves"". Embrace the spirit of '98 and enjoy the experience of a lifetime!

Travel the White Pass and Yukon Railway, following the footsteps of miners who travelled into the mountains on foot.

Discover the incredible beauty of British Columbia's Tormented Valley and Pitchfork Falls.

Sip a glass of champagne at the famous Red Onion Saloon.

Savor a delicious meal of wild Alaskan salmon, baked chicken, rice pilaf, salads, baked beans, cornbread, and dessert.

Immerse yourself in gold rush life at the Gold Rush Trail Camp where you'll learn how to pan for gold."
JUQ2,Taku Lodge Feast and 5-Glacier Seaplane Discovery,"Day 4 | JUNEAU, ALASKA",,0,,Mild,2,LOW_STOCK,Shore Excursions; Excursions,Active; Flightseeing; Food and Wine; Nature & Wildlife; Small Group Discoveries,Are you less than or equal to 300.0 lbs ?,123,3,"Embark on an excursion, that takes to the air on a flightseeing tour and touches down for an authentic Alaskan feast. Climb into a seaplane and skid across the water before lifting off into the skies above Juneau. Every guest enjoys a window seat as you fly over five of Alaska’s most spectacular glaciers. You’ll also soar above the wilderness where you might spot black bear and other wildlife, commentary through your headset. Your flight concludes with an exhilarating water landing at Taku Glacier Lodge, the only place in Juneau where you can dine to majestic glacial views. Savor a feast of fresh Wild Alaskan Salmon (or chicken, if preferred) paired with a selection of side dishes made from the bounty of Alaska.",Gaze out of our window seat as your seaplane pilot flies over five spectacular glaciers.; Enjoy an exhilarating water landing atop the calm waters of the Taku River.; Savor a feast of fresh Wild Alaskan Salmon and scrumptious side dishes overlooking the glaciers.,"Taku Lodge Feast and 5-Glacier Seaplane Discovery

Embark on an excursion, that takes to the air on a flightseeing tour and touches down for an authentic Alaskan feast. Climb into a seaplane and skid across the water before lifting off into the skies above Juneau. Every guest enjoys a window seat as you fly over five of Alaska’s most spectacular glaciers. You’ll also soar above the wilderness where you might spot black bear and other wildlife, commentary through your headset. Your flight concludes with an exhilarating water landing at Taku Glacier Lodge, the only place in Juneau where you can dine to majestic glacial views. Savor a feast of fresh Wild Alaskan Salmon (or chicken, if preferred) paired with a selection of side dishes made from the bounty of Alaska.

Gaze out of our window seat as your seaplane pilot flies over five spectacular glaciers.

Enjoy an exhilarating water landing atop the calm waters of the Taku River.

Savor a feast of fresh Wild Alaskan Salmon and scrumptious side dishes overlooking the glaciers."
JUQ3,5-Glacier Seaplane Exploration,"Day 4 | JUNEAU, ALASKA",,0,,Mild,9,LOW_STOCK,Shore Excursions; Excursions,Active; Flightseeing; Nature & Wildlife; Small Group Discoveries,Are you less than or equal to 300.0 lbs ?,77,3,"Get ready to experience Juneau like you never imagined - high above it! Your epic glacier adventure begins the moment you board your seaplane. Feel your heart race as you take off and soar over the Tongass National Forest, your segway into a birds eye view of five unique glaciers. The ,500 square mile Juneau Icefield will leave you breathless as you explore deep mountain crevasses, crystal-blue meltwater pools and the mystic icecaps of these majestic wonders.",Soar high above the Tongass National Forest.; Explore Juneau's most majestic glaciers.; Guests enjoy a window seat and a headset for continuous narration.,"5-Glacier Seaplane Exploration

Get ready to experience Juneau like you never imagined - high above it! Your epic glacier adventure begins the moment you board your seaplane. Feel your heart race as you take off and soar over the Tongass National Forest, your segway into a birds eye view of five unique glaciers. The ,500 square mile Juneau Icefield will leave you breathless as you explore deep mountain crevasses, crystal-blue meltwater pools and the mystic icecaps of these majestic wonders.

Soar high above the Tongass National Forest.

Explore Juneau's most majestic glaciers.

Guests enjoy a window seat and a headset for continuous narration."
VIBF,Destination Highlight: City Tour of Scenic Victoria,"Day 7 | VICTORIA, BRITISH COLUMBIA",84.99,84.99,(40% OFF) FLASH SALE,Mild,9999,IN_STOCK,Shore Excursions; Excursions,Sustainable; Sightseeing; Destination Highlights,,130,3,"Embark on a leisurely sightseeing drive that provides a captivating look at Victoria, while you relax in complete comfort. Your narrated exploration begins with a drive through extraordinary residential neighborhoods, where grand estates with manicured gardens overlook the Strait of San Juan de Fuca and the soaring Olympic Mountains. You'll witness Beacon Hill, the city's sprawling park located on the shores of the strait. The tour concludes with a drive along the Inner Harbor, the very heartbeat of Victoria. Here, you'll have the chance to debark at the historic Fairmont Empress Hotel and explore the Inner Harbor independently. Or, if you prefer, continue back to the ship. This tour is provided by an operator that has been third-party certified to meet the Global Sustainable Tourism Council's Criteria for Tour Operators.","Discover the beauty and history of Victoria, known as one of the most picturesque cities in North America.; Visit the Inner Harbor, the lively and historic centerpiece of the city.; See the Legislative Building, the Empress Hotel, the Royal British Columbia Museum and other sites.","Destination Highlight: City Tour of Scenic Victoria

Embark on a leisurely sightseeing drive that provides a captivating look at Victoria, while you relax in complete comfort. Your narrated exploration begins with a drive through extraordinary residential neighborhoods, where grand estates with manicured gardens overlook the Strait of San Juan de Fuca and the soaring Olympic Mountains. You'll witness Beacon Hill, the city's sprawling park located on the shores of the strait. The tour concludes with a drive along the Inner Harbor, the very heartbeat of Victoria. Here, you'll have the chance to debark at the historic Fairmont Empress Hotel and explore the Inner Harbor independently. Or, if you prefer, continue back to the ship. This tour is provided by an operator that has been third-party certified to meet the Global Sustainable Tourism Council's Criteria for Tour Operators.

Discover the beauty and history of Victoria, known as one of the most picturesque cities in North America.

Visit the Inner Harbor, the lively and historic centerpiece of the city.

See the Legislative Building, the Empress Hotel, the Royal British Columbia Museum and other sites."
Y7MT,Destination Highlight: Butchart Gardens and Taste of Tim Hortons,"Day 7 | VICTORIA, BRITISH COLUMBIA",158.99,158.99,(40% OFF) FLASH SALE,Mild,9999,IN_STOCK,Shore Excursions; Excursions,Destination Highlights; Sightseeing; Sustainable,,35,5,"Discover the natural splendor and historic charm of Canada, as you stop by the country’s iconic coffeehouse, followed by a visit to the Butchart Gardens - an enchanting masterpiece of colors, fragrances and floral displays.","Board your air-conditioned motor coach and set off on your picturesque Canadian journey, as your knowledgeable driver regales you with insightful commentary along the way. Make a brief stop at the iconic Tim Hortons, a beloved coffee and donut shop, where you can indulge in a couple of treats from this local favorite.; After, a scenic drive brings you to Butchart Gardens, a once barren space transformed into a 55-acre, century-old haven of beauty, adorned with lush greens and vibrant blooms.; Here, enjoy free time to explore at your own pace, as you stroll through the manicured pathways and admire the delicate details of each display.; Immerse yourself in the tranquility of these ethereal landscapes, before pausing at the garden’s gift shop for an unforgettable souvenir and departing with a complimentary memento (a Canada magnet).; As you return to your awaiting ship, pass by the highlights of downtown Victoria, including the Parliament Building, the Fairmont Empress Hotel and the sparkling waters of the city’s inner harbor.","Destination Highlight: Butchart Gardens and Taste of Tim Hortons

Discover the natural splendor and historic charm of Canada, as you stop by the country’s iconic coffeehouse, followed by a visit to the Butchart Gardens - an enchanting masterpiece of colors, fragrances and floral displays.

Board your air-conditioned motor coach and set off on your picturesque Canadian journey, as your knowledgeable driver regales you with insightful commentary along the way. Make a brief stop at the iconic Tim Hortons, a beloved coffee and donut shop, where you can indulge in a couple of treats from this local favorite.

After, a scenic drive brings you to Butchart Gardens, a once barren space transformed into a 55-acre, century-old haven of beauty, adorned with lush greens and vibrant blooms.

Here, enjoy free time to explore at your own pace, as you stroll through the manicured pathways and admire the delicate details of each display.

Immerse yourself in the tranquility of these ethereal landscapes, before pausing at the garden’s gift shop for an unforgettable souvenir and departing with a complimentary memento (a Canada magnet).

As you return to your awaiting ship, pass by the highlights of downtown Victoria, including the Parliament Building, the Fairmont Empress Hotel and the sparkling waters of the city’s inner harbor."
Y7MZ,Small Group: Exclusive Flightseeing and Taste of Alaska,"Day 3 | KETCHIKAN, ALASKA",880.99,880.99,(10% OFF) PRE-CRUISE SAVINGS,Moderate,9999,IN_STOCK,Shore Excursions; Excursions,Small Group Discoveries; Flightseeing; Food and Wine,Are you greater than or equal to 2.0 years ?; Are you less than or equal to 250.0 lbs ?,38,10,"Indulge in the perfect blend of Ketchikan's finest offerings, as you embark on an unforgettable journey combining spectacular scenery and mountain top flightseeing with a luxurious and authentic Alaskan seafood feast at a secluded world-famous George Inlet Lodge.","Discover firsthand why Alaska is affectionately known as “The Last Frontier."" This extraordinary excursion promises a once-in-a-lifetime experience that will undoubtedly be the highlight of your Alaskan getaway.; Feel the exhilaration as a DeHavilland Beaver aircraft roars to life, with your skilled pilot at the helm, as you ascend from the sparkling ocean below.; Enjoy your pilot’s narration and details of the area with individual headsets and a guaranteed window seat.; Glide gently over the Tongass Narrows, taking in the bustling communities below and marveling at the awe-inspiring mountain ranges that define this remarkable corner of the world.; Your flight to George Inlet Lodge will transport you over rugged peaks at the southern tip of Revillagigedo Island. En route, keen observers might spot mountain goats resting on pristine snowpack or black bears foraging for succulent berries, or humpback whales breaching in the ocean.; As your floatplane gracefully touches down on the tranquil waters of George Inlet, you will arrive at the lodge where your host welcomes you. Have your cameras ready to capture the breathtaking sight of your floatplane taking off, framed by the magnificent Tongass National Forest.; Indulge in a mouthwatering Alaskan Tasting Adventure featuring your choice of three craft beers or Ciders from renowned Alaska breweries and Cidery, each carefully paired with a selection of delectable dishes.; Start with our homemade George Inlet Lodge crab chowder (or opt for a fresh salad with an Asian-style dressing). Savor the flavors of our fresh crab egg rolls and a crab cake made according to our lodge recipe, followed by a half steaming hot Dungeness crab, cooked to perfection.; Conclude your meal with a delightful piece of blueberry-topped cheesecake, a perfect blend of sweetness and tartness. As you savor each bite, you'll be entertained with a lesson in the art of crab cracking, hear entertaining stories about Alaskan Fishing and Crabbing as well as a brief history of the lodge.; Conclude your tour experience with a beautiful 25-minute coastal drive that provides a glimpse into our vibrant waterfront community and its local history, charming harbors, fascinating totem parks, and the authentic Alaskan way of life.","Small Group: Exclusive Flightseeing and Taste of Alaska

Indulge in the perfect blend of Ketchikan's finest offerings, as you embark on an unforgettable journey combining spectacular scenery and mountain top flightseeing with a luxurious and authentic Alaskan seafood feast at a secluded world-famous George Inlet Lodge.

Discover firsthand why Alaska is affectionately known as “The Last Frontier."" This extraordinary excursion promises a once-in-a-lifetime experience that will undoubtedly be the highlight of your Alaskan getaway.

Feel the exhilaration as a DeHavilland Beaver aircraft roars to life, with your skilled pilot at the helm, as you ascend from the sparkling ocean below.

Enjoy your pilot’s narration and details of the area with individual headsets and a guaranteed window seat.

Glide gently over the Tongass Narrows, taking in the bustling communities below and marveling at the awe-inspiring mountain ranges that define this remarkable corner of the world.

Your flight to George Inlet Lodge will transport you over rugged peaks at the southern tip of Revillagigedo Island. En route, keen observers might spot mountain goats resting on pristine snowpack or black bears foraging for succulent berries, or humpback whales breaching in the ocean.

As your floatplane gracefully touches down on the tranquil waters of George Inlet, you will arrive at the lodge where your host welcomes you. Have your cameras ready to capture the breathtaking sight of your floatplane taking off, framed by the magnificent Tongass National Forest.

Indulge in a mouthwatering Alaskan Tasting Adventure featuring your choice of three craft beers or Ciders from renowned Alaska breweries and Cidery, each carefully paired with a selection of delectable dishes.

Start with our homemade George Inlet Lodge crab chowder (or opt for a fresh salad with an Asian-style dressing). Savor the flavors of our fresh crab egg rolls and a crab cake made according to our lodge recipe, followed by a half steaming hot Dungeness crab, cooked to perfection.

Conclude your meal with a delightful piece of blueberry-topped cheesecake, a perfect blend of sweetness and tartness. As you savor each bite, you'll be entertained with a lesson in the art of crab cracking, hear entertaining stories about Alaskan Fishing and Crabbing as well as a brief history of the lodge.

Conclude your tour experience with a beautiful 25-minute coastal drive that provides a glimpse into our vibrant waterfront community and its local history, charming harbors, fascinating totem parks, and the authentic Alaskan way of life."
VIBA,Destination Highlight: Butchart and Butterfly Gardens,"Day 7 | VICTORIA, BRITISH COLUMBIA",192.99,192.99,(40% OFF) FLASH SALE,Moderate,9999,IN_STOCK,Shore Excursions; Excursions,Sustainable; Sightseeing; Destination Highlights,,99,3,"Spend your day surrounded by vivid and vibrant color with a tour to two of Victoria’s most popular attractions; Butchart and Butterfly Gardens. Meander along trails that lead you through an incredible 55-acres of landscaped perfection at Butchart Gardens. See the Rose Gardens, Italian Gardens, Japanese Gardens and legendary Sunken Gardens. Stroll beneath flittering wings of color at Butterfly Garden. You’ll see pink flamingoes and tropical birds, as well. You might even see a butterfly sleeping! This tour is provided by an operator that has been third-party certified to meet the Global Sustainable Tourism Council's Criteria for Tour Operators.","Explore one of the world's foremost botanical gardens on a self-guided tour.; Visit the famous Sunken Garden, an abandoned limestone quarry that was magically transformed into a masterpiece.; Explore the 12,000-square-foot Butterfly Garden and wander among a multitude of free-flying butterflies.","Destination Highlight: Butchart and Butterfly Gardens

Spend your day surrounded by vivid and vibrant color with a tour to two of Victoria’s most popular attractions; Butchart and Butterfly Gardens. Meander along trails that lead you through an incredible 55-acres of landscaped perfection at Butchart Gardens. See the Rose Gardens, Italian Gardens, Japanese Gardens and legendary Sunken Gardens. Stroll beneath flittering wings of color at Butterfly Garden. You’ll see pink flamingoes and tropical birds, as well. You might even see a butterfly sleeping! This tour is provided by an operator that has been third-party certified to meet the Global Sustainable Tourism Council's Criteria for Tour Operators.

Explore one of the world's foremost botanical gardens on a self-guided tour.

Visit the famous Sunken Garden, an abandoned limestone quarry that was magically transformed into a masterpiece.

Explore the 12,000-square-foot Butterfly Garden and wander among a multitude of free-flying butterflies."
SKF8,Destination Highlight: White Pass Railroad and Yukon Suspension Bridge Discovery,"Day 5 | SKAGWAY, ALASKA",394.99,394.99,(5% OFF) PRE-CRUISE SAVINGS,Mild,1,LOW_STOCK,Shore Excursions; Excursions,Active; Sightseeing; Sustainable; Destination Highlights,,88,3,"Delight in Skagway's fascinating history and spectacular mountainous scenery as you travel to the White Pass Summit and the Yukon Suspension Bridge. Ride a restored vintage rail car on the White Pass & Yukon Route Railway, ""The Scenic Railway of the World"", as you delight to tales of the Klondike Gold Rush. Next, arrive at Fraser, British Columbia, and ride in the comfort of a motor coach across the White Pass summit to Tutshi Canyon where you can traverse the Yukon Suspension Bridge and enjoy the breathtaking view.","Admire breathtaking wilderness scenery while on an unforgettable journey on the White Pass & Yukon Route Railway, a narrow-gauge railway chiseled into a mountain during the Gold Rush.; Feel the adrenaline rush of crossing the Yukon Suspension Bridge, dangling 57 feet above a river roiling with class III and IV rapids.; Delve into the fascinating history of the region relayed by your informative guide, and stop for photos along the way at places such as Tormented Valley and Pitchfork Falls.","Destination Highlight: White Pass Railroad and Yukon Suspension Bridge Discovery

Delight in Skagway's fascinating history and spectacular mountainous scenery as you travel to the White Pass Summit and the Yukon Suspension Bridge. Ride a restored vintage rail car on the White Pass & Yukon Route Railway, ""The Scenic Railway of the World"", as you delight to tales of the Klondike Gold Rush. Next, arrive at Fraser, British Columbia, and ride in the comfort of a motor coach across the White Pass summit to Tutshi Canyon where you can traverse the Yukon Suspension Bridge and enjoy the breathtaking view.

Admire breathtaking wilderness scenery while on an unforgettable journey on the White Pass & Yukon Route Railway, a narrow-gauge railway chiseled into a mountain during the Gold Rush.

Feel the adrenaline rush of crossing the Yukon Suspension Bridge, dangling 57 feet above a river roiling with class III and IV rapids.

Delve into the fascinating history of the region relayed by your informative guide, and stop for photos along the way at places such as Tormented Valley and Pitchfork Falls."
